Ligand,Binding Affinity,rmsd/ub, rmsd/lb
miRNA-612_3D_Structure_model1_ZINC000004629796_uff_E=396.96,-7.7,0,0
miRNA-612_3D_Structure_model1_ZINC000005750376_uff_E=773.97,-7.7,42.227,40.381
miRNA-612_3D_Structure_model1_ZINC000006760910_uff_E=399.36,-7.7,53.481,52.186
miRNA-612_3D_Structure_model1_ZINC000008983594_uff_E=548.68,-7.7,27.625,25.717
miRNA-612_3D_Structure_model1_ZINC000011850592_uff_E=163.33,-7.7,0,0
miRNA-612_3D_Structure_model1_ZINC000012396971_uff_E=357.93,-7.7,0,0
miRNA-612_3D_Structure_model1_ZINC000012504764_uff_E=339.89,-7.7,0,0
miRNA-612_3D_Structure_model1_ZINC000012944238_uff_E=178.51,-7.7,0,0
miRNA-612_3D_Structure_model1_ZINC000012956768_uff_E=317.06,-7.7,0,0
miRNA-612_3D_Structure_model1_ZINC000016283433_uff_E=390.12,-7.7,0,0
miRNA-612_3D_Structure_model1_ZINC000022165608_uff_E=320.77,-7.7,0,0
miRNA-612_3D_Structure_model1_ZINC000030834184_uff_E=290.23,-7.7,4.006,1.446
miRNA-612_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-7.7,54.953,51.259
miRNA-612_3D_Structure_model1_ZINC000032627937_uff_E=735.28,-7.7,0,0
miRNA-612_3D_Structure_model1_ZINC000040163924_uff_E=347.22,-7.7,0,0
miRNA-612_3D_Structure_model1_ZINC000044610030_uff_E=513.50,-7.7,0,0
miRNA-612_3D_Structure_model1_ZINC000065407987_uff_E=543.72,-7.7,51.016,48.267
miRNA-612_3D_Structure_model1_ZINC000065407987_uff_E=543.72,-7.7,4.718,2.062
miRNA-612_3D_Structure_model1_ZINC000065614335_uff_E=326.84,-7.7,51.029,47.784
miRNA-612_3D_Structure_model1_ZINC000070274092_uff_E=375.88,-7.7,0,0
miRNA-612_3D_Structure_model1_ZINC000072324030_uff_E=441.10,-7.7,40.514,38.492
miRNA-612_3D_Structure_model1_ZINC000072324030_uff_E=441.10,-7.7,6.856,4.144
miRNA-612_3D_Structure_model1_ZINC000090275527_uff_E=148.08,-7.7,0,0
miRNA-612_3D_Structure_model1_ZINC000095485801_uff_E=326.10,-7.7,0,0
miRNA-612_3D_Structure_model1_ZINC000097375660_uff_E=769.95,-7.7,0,0
miRNA-612_3D_Structure_model1_ZINC000097375660_uff_E=769.95,-7.7,7.341,4.118
miRNA-612_3D_Structure_model1_ZINC000215281114_uff_E=382.72,-7.7,15.446,12.678
miRNA-612_3D_Structure_model1_ZINC000215566476_uff_E=155.54,-7.7,0,0
miRNA-612_3D_Structure_model1_ZINC000253536240_uff_E=149.47,-7.7,0,0
miRNA-612_3D_Structure_model1_ZINC000253536240_uff_E=149.47,-7.7,36.008,34.929
miRNA-612_3D_Structure_model1_ZINC000392498310_uff_E=403.00,-7.7,47.276,45.164
miRNA-612_3D_Structure_model1_ZINC000584895208_uff_E=529.63,-7.7,0,0
