Ligand,Binding Energy
ZINC000003883208_uff_E=414.19,-6.9
ZINC000003887395_uff_E=421.24,-6.9
ZINC000004029391_uff_E=345.13,-6.9
ZINC000004124645_uff_E=768.79,-6.9
ZINC000004206965_uff_E=333.92,-6.9
ZINC000004671365_uff_E=935.16,-6.9
ZINC000006921736_uff_E=571.71,-6.9
ZINC000012396154_uff_E=741.69,-6.9
ZINC000012396971_uff_E=357.93,-6.9
ZINC000019845269_uff_E=178.79,-6.9
ZINC000019961083_uff_E=129.59,-6.9
ZINC000020322864_uff_E=426.44,-6.9
ZINC000020446203_uff_E=339.90,-6.9
ZINC000021782355_uff_E=191.70,-6.9
ZINC000026420176_uff_E=137.60,-6.9
ZINC000034552395_uff_E=335.26,-6.9
ZINC000036747152_uff_E=162.77,-6.9
ZINC000043700678_uff_E=417.44,-6.9
ZINC000050213593_uff_E=529.33,-6.9
ZINC000054768658_uff_E=236.36,-6.9
ZINC000054768659_uff_E=233.05,-6.9
ZINC000054768660_uff_E=240.74,-6.9
ZINC000057352386_uff_E=360.19,-6.9
ZINC000062913629_uff_E=334.29,-6.9
ZINC000065406900_uff_E=553.74,-6.9
ZINC000071792691_uff_E=625.43,-6.9
ZINC000086012758_uff_E=203.05,-6.9
ZINC000095160883_uff_E=438.81,-6.9
ZINC000095257904_uff_E=575.32,-6.9
ZINC000097056285_uff_E=378.78,-6.9
ZINC000100177130_uff_E=365.60,-6.9
ZINC000241160516_uff_E=402.88,-6.9
ZINC000263558397_uff_E=682.28,-6.9
ZINC000263618848_uff_E=343.03,-6.9
ZINC000521398296_uff_E=402.42,-6.9
ZINC000000248558_uff_E=331.24,-6.8
ZINC000000336994_uff_E=1447.66,-6.8
ZINC000000374873_uff_E=141.71,-6.8
ZINC000000967414_uff_E=584.05,-6.8
ZINC000000967415_uff_E=628.17,-6.8
ZINC000001536869_uff_E=324.19,-6.8
ZINC000001603203_uff_E=491.11,-6.8
ZINC000002525175_uff_E=188.79,-6.8
ZINC000002527899_uff_E=151.02,-6.8
ZINC000002768361_uff_E=364.41,-6.8
ZINC000004124646_uff_E=621.95,-6.8
ZINC000004124653_uff_E=603.51,-6.8
ZINC000004206968_uff_E=339.67,-6.8
ZINC000004264671_uff_E=190.30,-6.8
ZINC000004476560_uff_E=302.92,-6.8
ZINC000004487220_uff_E=344.90,-6.8
ZINC000004992763_uff_E=371.51,-6.8
ZINC000005555515_uff_E=516.55,-6.8
ZINC000006921409_uff_E=561.94,-6.8
ZINC000011850592_uff_E=163.33,-6.8
ZINC000011919417_uff_E=198.02,-6.8
ZINC000012394588_uff_E=386.19,-6.8
ZINC000012778469_uff_E=362.79,-6.8
ZINC000013638179_uff_E=1362.13,-6.8
ZINC000014248179_uff_E=107.20,-6.8
ZINC000015828482_uff_E=377.97,-6.8
ZINC000019504857_uff_E=661.93,-6.8
ZINC000019686070_uff_E=816.41,-6.8
ZINC000019686380_uff_E=148.85,-6.8
ZINC000032194656_uff_E=388.44,-6.8
ZINC000034383907_uff_E=314.19,-6.8
ZINC000037436480_uff_E=213.48,-6.8
ZINC000037516594_uff_E=1357.70,-6.8
ZINC000040543936_uff_E=352.47,-6.8
ZINC000050959659_uff_E=219.97,-6.8
ZINC000071773858_uff_E=145.00,-6.8
ZINC000072416565_uff_E=279.39,-6.8
ZINC000075153165_uff_E=317.36,-6.8
ZINC000082292990_uff_E=286.23,-6.8
ZINC000084063773_uff_E=1393.83,-6.8
ZINC000088373749_uff_E=269.99,-6.8
ZINC000088373840_uff_E=465.11,-6.8
ZINC000088375338_uff_E=302.03,-6.8
ZINC000095160884_uff_E=439.99,-6.8
ZINC000095257903_uff_E=572.00,-6.8
ZINC000100116767_uff_E=363.12,-6.8
ZINC000122994222_uff_E=157.79,-6.8
ZINC000122994461_uff_E=167.87,-6.8
ZINC000137708902_uff_E=176.08,-6.8
ZINC000254318780_uff_E=273.12,-6.8
ZINC000262219237_uff_E=1507.91,-6.8
ZINC000526059748_uff_E=718.04,-6.8
ZINC000888099288_uff_E=221.98,-6.8
ZINC000000299184_uff_E=596.58,-6.7
ZINC000002539628_uff_E=969.53,-6.7
ZINC000003324531_uff_E=810.32,-6.7
ZINC000004298478_uff_E=445.81,-6.7
ZINC000004554515_uff_E=1014.90,-6.7
ZINC000004954360_uff_E=452.33,-6.7
ZINC000005700396_uff_E=358.13,-6.7
ZINC000006564865_uff_E=695.28,-6.7
ZINC000010336533_uff_E=393.61,-6.7
ZINC000012760855_uff_E=358.28,-6.7
ZINC000013521780_uff_E=175.27,-6.7
ZINC000019517337_uff_E=197.04,-6.7
ZINC000019944008_uff_E=331.97,-6.7
ZINC000020357856_uff_E=239.54,-6.7
ZINC000021983276_uff_E=1163.24,-6.7
ZINC000022165608_uff_E=320.77,-6.7
ZINC000034926111_uff_E=333.78,-6.7
ZINC000035605758_uff_E=202.02,-6.7
ZINC000036612475_uff_E=111.13,-6.7
ZINC000037358545_uff_E=373.53,-6.7
ZINC000037456880_uff_E=1484.87,-6.7
ZINC000037456881_uff_E=1482.85,-6.7
ZINC000039135820_uff_E=138.70,-6.7
ZINC000040385796_uff_E=256.40,-6.7
